Transition	Tag	Frequency(Ghz)	Eup(K)	Aij	Tau	Tex	Intensity(K)
C2H3CN (9 5 4 0 8 _ 8 5 3 0 7) 	53001	85420.054	74.536	3.37E-5	0.000E0	0	0.00E0	
CH3NH2 (3 1 5 _ 3 0 5) 	31008	85425.067	17.298	8.03E-7	0.000E0	0	0.00E0	
CH3COCH3 (9 8 2 1 _ 9 5 4 2) 	58003	85425.414	40.404	1.39E-7	0.000E0	0	0.00E0	
C2H3CN (9 3 7 0 9 _ 8 3 6 0 9) 	53001	85425.998	39.968	5.42E-7	0.000E0	0	0.00E0	
C2H3CN (9 3 7 0 9 _ 8 3 6 0 8) 	53001	85426.848	39.968	4.34E-5	0.000E0	0	0.00E0	
C2H3CN (9 3 7 0 8 _ 8 3 6 0 7) 	53001	85426.952	39.968	4.33E-5	0.000E0	0	0.00E0	
C2H3CN (9 3 7 0 10 _ 8 3 6 0 9) 	53001	85426.954	39.968	4.39E-5	0.000E0	0	0.00E0	
C2H3CN (9 3 7 0 8 _ 8 3 6 0 9) 	53001	85427.039	39.968	1.88E-9	0.000E0	0	0.00E0	
C2H3CN (9 3 7 0 8 _ 8 3 6 0 8) 	53001	85427.888	39.968	6.06E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (15 11 5 0 2 _ 15 9 6 0 1) 	60523	85429.085	112.629	1.98E-7	0.000E0	0	0.00E0	
C2H3CN (9 6 3 0 8 _ 8 6 2 0 8) 	53001	85430.589	98.266	3.79E-7	0.000E0	0	0.00E0	
C2H3CN (9 6 4 0 8 _ 8 6 3 0 8) 	53001	85430.589	98.266	3.79E-7	0.000E0	0	0.00E0	
C2H3CN (9 6 3 0 9 _ 8 6 2 0 8) 	53001	85430.903	98.266	2.71E-5	0.000E0	0	0.00E0	
C2H3CN (9 6 4 0 9 _ 8 6 3 0 8) 	53001	85430.903	98.266	2.71E-5	0.000E0	0	0.00E0	
C2H3CN (9 6 3 0 8 _ 8 6 2 0 9) 	53001	85431.248	98.266	1.17E-9	0.000E0	0	0.00E0	
C2H3CN (9 6 4 0 8 _ 8 6 3 0 9) 	53001	85431.248	98.266	1.17E-9	0.000E0	0	0.00E0	
C2H3CN (9 6 3 0 10 _ 8 6 2 0 9) 	53001	85431.306	98.266	2.75E-5	0.000E0	0	0.00E0	
C2H3CN (9 6 4 0 10 _ 8 6 3 0 9) 	53001	85431.306	98.266	2.75E-5	0.000E0	0	0.00E0	
C2H3CN (9 6 3 0 8 _ 8 6 2 0 7) 	53001	85431.360	98.266	2.71E-5	0.000E0	0	0.00E0	
C2H3CN (9 6 4 0 8 _ 8 6 3 0 7) 	53001	85431.360	98.266	2.71E-5	0.000E0	0	0.00E0	
C2H3CN (9 6 3 0 9 _ 8 6 2 0 9) 	53001	85431.563	98.266	3.39E-7	0.000E0	0	0.00E0	
C2H3CN (9 6 4 0 9 _ 8 6 3 0 9) 	53001	85431.563	98.266	3.39E-7	0.000E0	0	0.00E0	
C2H3CN (9 3 6 0 9 _ 8 3 5 0 9) 	53001	85433.604	39.968	5.43E-7	0.000E0	0	0.00E0	
C2H3CN (9 3 6 0 9 _ 8 3 5 0 8) 	53001	85434.454	39.968	4.34E-5	0.000E0	0	0.00E0	
C2H3CN (9 3 6 0 8 _ 8 3 5 0 7) 	53001	85434.558	39.969	4.33E-5	0.000E0	0	0.00E0	
C2H3CN (9 3 6 0 10 _ 8 3 5 0 9) 	53001	85434.560	39.969	4.40E-5	0.000E0	0	0.00E0	
C2H3CN (9 3 6 0 8 _ 8 3 5 0 9) 	53001	85434.644	39.969	1.88E-9	0.000E0	0	0.00E0	
C2H3CN (9 3 6 0 8 _ 8 3 5 0 8) 	53001	85435.494	39.969	6.06E-7	0.000E0	0	0.00E0	
C2H3CN (14 3 11 0 14 _ 15 2 14 0 14) 	53001	85435.580	67.319	2.18E-9	0.000E0	0	0.00E0	
C2H3CN (14 3 11 0 13 _ 15 2 14 0 14) 	53001	85436.844	67.319	4.91E-7	0.000E0	0	0.00E0	
C2H3CN (14 3 11 0 15 _ 15 2 14 0 16) 	53001	85436.844	67.319	4.89E-7	0.000E0	0	0.00E0	
C2H3CN (14 3 11 0 14 _ 15 2 14 0 15) 	53001	85436.968	67.319	4.89E-7	0.000E0	0	0.00E0	
C2H3CN (14 3 11 0 15 _ 15 2 14 0 15) 	53001	85438.176	67.319	2.04E-9	0.000E0	0	0.00E0	
C2H3CN (9 7 2 0 8 _ 8 7 1 0 8) 	53001	85446.339	126.27	2.70E-7	0.000E0	0	0.00E0	
C2H3CN (9 7 3 0 8 _ 8 7 2 0 8) 	53001	85446.339	126.27	2.70E-7	0.000E0	0	0.00E0	
C3H7CN (34 4 30 0 _ 35 2 33 0) 	69002	85446.350	142.796	2.71E-9	0.000E0	0	0.00E0	
C2H3CN (9 7 2 0 9 _ 8 7 1 0 8) 	53001	85447.313	126.27	1.93E-5	0.000E0	0	0.00E0	
C2H3CN (9 7 3 0 9 _ 8 7 2 0 8) 	53001	85447.313	126.27	1.93E-5	0.000E0	0	0.00E0	
C2H3CN (9 7 2 0 8 _ 8 7 1 0 9) 	53001	85447.725	126.27	8.36E-10	0.000E0	0	0.00E0	
C2H3CN (9 7 3 0 8 _ 8 7 2 0 9) 	53001	85447.725	126.27	8.36E-10	0.000E0	0	0.00E0	
C2H3CN (9 7 2 0 10 _ 8 7 1 0 9) 	53001	85447.890	126.27	1.95E-5	0.000E0	0	0.00E0	
C2H3CN (9 7 3 0 10 _ 8 7 2 0 9) 	53001	85447.890	126.27	1.95E-5	0.000E0	0	0.00E0	
C2H3CN (9 7 2 0 8 _ 8 7 1 0 7) 	53001	85447.890	126.27	1.93E-5	0.000E0	0	0.00E0	
C2H3CN (9 7 3 0 8 _ 8 7 2 0 7) 	53001	85447.890	126.27	1.93E-5	0.000E0	0	0.00E0	
C2H3CN (9 7 2 0 9 _ 8 7 1 0 9) 	53001	85448.693	126.27	2.41E-7	0.000E0	0	0.00E0	
C2H3CN (9 7 3 0 9 _ 8 7 2 0 9) 	53001	85448.693	126.27	2.41E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 7 1 0 0 _ 8 5 4 0 0) 	60523	85474.617	36.262	1.60E-8	0.000E0	0	0.00E0	
CH3C4H (21 3 _ 20 3) 	64507	85490.670	112.98	5.07E-6	0.000E0	0	0.00E0	
CH3C4H (21 2 _ 20 2) 	64507	85494.834	75.292	5.13E-6	0.000E0	0	0.00E0	
CH3C4H (21 1 _ 20 1) 	64507	85497.333	52.676	5.16E-6	0.000E0	0	0.00E0	
CH3C4H (21 0 _ 20 0) 	64507	85498.167	45.137	5.18E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (6 2 4 1 2 _ 5 3 3 1 1) 	60524	85522.709	129.97	5.71E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (6 3 4 1 2 _ 5 3 3 1 1) 	60524	85544.123	129.971	4.29E-8	0.000E0	0	0.00E0	
C2H3CN (19 1 18 0 19 _ 19 1 19 0 18) 	53001	85548.581	90.448	7.65E-10	0.000E0	0	0.00E0	
C2H3CN (19 1 18 0 19 _ 19 1 19 0 20) 	53001	85548.611	90.448	7.65E-10	0.000E0	0	0.00E0	
C2H3CN (19 1 18 0 20 _ 19 1 19 0 20) 	53001	85549.947	90.448	2.90E-7	0.000E0	0	0.00E0	
C2H3CN (19 1 18 0 18 _ 19 1 19 0 18) 	53001	85549.952	90.448	2.90E-7	0.000E0	0	0.00E0	
C2H3CN (19 1 18 0 19 _ 19 1 19 0 19) 	53001	85550.101	90.448	2.90E-7	0.000E0	0	0.00E0	
C2H3CN (19 1 18 0 20 _ 19 1 19 0 19) 	53001	85551.437	90.448	7.28E-10	0.000E0	0	0.00E0	
C2H3CN (19 1 18 0 18 _ 19 1 19 0 19) 	53001	85551.472	90.448	8.07E-10	0.000E0	0	0.00E0	
CH3OH, vt=0-2 (6 2 4 2 _ 7 1 7 2) 	32504	85568.131	74.657	1.13E-6	0.000E0	0	0.00E0	
CH3C5N (55 2 54 _ 54 2 53) 	89501	85576.613	145.199	1.05E-4	0.000E0	0	0.00E0	
CH3C5N (55 2 55 _ 54 2 54) 	89501	85576.613	145.199	1.05E-4	0.000E0	0	0.00E0	
CH3C5N (55 2 56 _ 54 2 55) 	89501	85576.614	145.199	1.05E-4	0.000E0	0	0.00E0	
CH3C5N (55 1 54 _ 54 1 53) 	89501	85578.065	122.553	1.05E-4	0.000E0	0	0.00E0	
CH3C5N (55 1 55 _ 54 1 54) 	89501	85578.065	122.553	1.05E-4	0.000E0	0	0.00E0	
CH3C5N (55 1 56 _ 54 1 55) 	89501	85578.066	122.553	1.05E-4	0.000E0	0	0.00E0	
CH3C5N (55 0 54 _ 54 0 53) 	89501	85578.549	115.003	1.05E-4	0.000E0	0	0.00E0	
CH3C5N (55 0 55 _ 54 0 54) 	89501	85578.549	115.003	1.05E-4	0.000E0	0	0.00E0	
CH3C5N (55 0 56 _ 54 0 55) 	89501	85578.550	115.003	1.05E-4	0.000E0	0	0.00E0	
CH3COOH, vt=0 (12 7 6 0 0 _ 11 9 2 0 0) 	60523	85590.424	68.668	2.47E-9	0.000E0	0	0.00E0	
CH3COCH3 (15 9 6 0 _ 14 12 2 1) 	58003	85591.872	97.612	1.08E-8	0.000E0	0	0.00E0	
CH3C6H (55 2 _ 54 2) 	88502	85598.810	145.429	8.13E-6	0.000E0	0	0.00E0	
CH3C6H (55 1 _ 54 1) 	88502	85600.276	122.633	8.14E-6	0.000E0	0	0.00E0	
CH3C6H (55 0 _ 54 0) 	88502	85600.765	115.033	8.14E-6	0.000E0	0	0.00E0	
CH3OCHO (7 3 5 1 _ 6 3 3 2) 	60003	85614.502	22.527	6.50E-8	0.000E0	0	0.00E0	
CH3OCHO (18 7 12 0 _ 19 5 15 0) 	60003	85626.175	133.718	9.18E-9	0.000E0	0	0.00E0	
C4H (9 9.5 9 _ 8 8.5 8) 	49003	85634.006	20.546	2.79E-6	0.000E0	0	0.00E0	
C4H (9 9.5 10 _ 8 8.5 9) 	49003	85634.017	20.545	2.80E-6	0.000E0	0	0.00E0	
CH3OCHO (4 2 3 1 _ 3 1 2 2) 	60003	85638.329	8.541	7.13E-7	0.000E0	0	0.00E0	
C4H (9 9.5 9 _ 8 8.5 9) 	49003	85643.639	20.546	1.70E-8	0.000E0	0	0.00E0	
CH3CHO (4 1 3 2 _ 3 1 3 1) 	44003	85644.754	11.844	4.10E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (6 2 4 1 2 _ 5 2 3 1 1) 	60524	85649.249	129.97	4.30E-8	0.000E0	0	0.00E0	
C2H5OH,v=0 (7 7 0 0 _ 8 6 2 1) 	46524	85651.611	139.901	3.61E-8	0.000E0	0	0.00E0	
C2H5OH,v=0 (7 7 1 0 _ 8 6 3 1) 	46524	85651.611	139.901	3.61E-8	0.000E0	0	0.00E0	
CH3OCHO (4 2 3 0 _ 3 1 2 0) 	60003	85655.803	8.523	7.14E-7	0.000E0	0	0.00E0	
C4H (9 8.5 8 _ 8 7.5 8) 	49003	85663.081	20.563	1.97E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (12 10 3 0 0 _ 12 8 4 0 0) 	60523	85670.204	76.214	2.10E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (6 3 4 1 2 _ 5 2 3 1 1) 	60524	85670.663	129.971	5.80E-6	0.000E0	0	0.00E0	
C4H (9 8.5 8 _ 8 7.5 7) 	49003	85672.581	20.563	2.77E-6	0.000E0	0	0.00E0	
C4H (9 8.5 9 _ 8 7.5 8) 	49003	85672.583	20.563	2.79E-6	0.000E0	0	0.00E0	
C2H3CHO (13 0 13 0 _ 12 1 12 0) 	56008	85705.560	38.682	8.04E-7	0.000E0	0	0.00E0	
C2H3CN (9 2 7 0 9 _ 8 2 6 0 9) 	53001	85714.272	29.19	5.86E-7	0.000E0	0	0.00E0	
C2H3CN (9 2 7 0 9 _ 8 2 6 0 8) 	53001	85715.393	29.189	4.69E-5	0.000E0	0	0.00E0	
C2H3CN (9 2 7 0 8 _ 8 2 6 0 7) 	53001	85715.430	29.19	4.68E-5	0.000E0	0	0.00E0	
C2H3CN (9 2 7 0 10 _ 8 2 6 0 9) 	53001	85715.442	29.19	4.75E-5	0.000E0	0	0.00E0	
C2H3CN (9 2 7 0 8 _ 8 2 6 0 9) 	53001	85715.552	29.19	2.03E-9	0.000E0	0	0.00E0	
C2H3CN (9 2 7 0 8 _ 8 2 6 0 8) 	53001	85716.673	29.189	6.55E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 0 5 0 _ 4 0 4 0) 	46524	85747.184	69.277	5.33E-6	0.000E0	0	0.00E0	
CH3COCH3 (8 6 2 0 _ 7 7 1 1) 	58003	85755.817	30.535	1.76E-7	0.000E0	0	0.00E0	
C2H5CN (11 2 10 _ 11 1 11) 	55001	85760.502	32.759	2.34E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (8 0 8 1 _ 8 1 8 0) 	46524	85765.149	91.078	5.75E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 0 5 1 _ 4 0 4 1) 	46524	85768.899	73.924	5.38E-6	0.000E0	0	0.00E0	
C3H7CN (7 4 3 1 _ 7 2 6 1) 	69002	85777.482	145.456	3.23E-8	0.000E0	0	0.00E0	
CH3OCHO (20 5 15 2 _ 20 4 16 2) 	60003	85780.673	142.79	1.30E-6	0.000E0	0	0.00E0	
CH3OCHO (20 5 15 0 _ 20 4 16 0) 	60003	85785.342	142.786	1.30E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (5 4 1 1 0 _ 5 2 4 1 0) 	60524	85791.813	120.257	9.76E-9	0.000E0	0	0.00E0	
C3H7CN (3 2 2 0 _ 3 0 3 0) 	69002	85830.042	5.392	8.57E-10	0.000E0	0	0.00E0	
C3H7CN (4 2 3 0 _ 4 0 4 0) 	69002	85834.665	6.241	1.54E-9	0.000E0	0	0.00E0	
C3H7CN (5 2 4 0 _ 5 0 5 0) 	69002	85843.339	7.302	2.40E-9	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 5 4 0 0 _ 7 6 1 0 0) 	60523	85851.319	32.16	9.71E-8	0.000E0	0	0.00E0	
C3H7CN (6 2 5 0 _ 6 0 6 0) 	69002	85857.991	8.575	3.43E-9	0.000E0	0	0.00E0	
C2H3CHO (13 3 11 0 _ 14 2 12 0) 	56008	85866.860	57.432	2.51E-7	0.000E0	0	0.00E0	
C3H7CN (7 2 6 0 _ 7 0 7 0) 	69002	85880.929	10.06	4.63E-9	0.000E0	0	0.00E0	
C3H7CN (5 2 4 0 _ 4 1 3 0) 	69002	85900.054	7.302	1.37E-6	0.000E0	0	0.00E0	
C3H7CN (8 2 7 0 _ 8 0 8 0) 	69002	85914.833	11.757	6.00E-9	0.000E0	0	0.00E0	
C2H5CN (19 1 18 _ 19 1 19) 	55001	85916.917	84.231	3.50E-7	0.000E0	0	0.00E0	
CH3OCHO (7 6 1 2 _ 6 6 0 2) 	60003	85919.209	40.436	2.43E-6	0.000E0	0	0.00E0	
CH3OCHO (7 6 2 1 _ 6 6 1 1) 	60003	85926.553	40.418	2.43E-6	0.000E0	0	0.00E0	
CH3OCHO (7 6 2 0 _ 6 6 1 0) 	60003	85927.227	40.416	2.43E-6	0.000E0	0	0.00E0	
CH3OCHO (7 6 1 0 _ 6 6 0 0) 	60003	85927.227	40.416	2.43E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (5 4 2 1 2 _ 4 3 1 1 1) 	60524	85952.159	126.921	4.31E-6	0.000E0	0	0.00E0	
CH3OCHO (7 4 4 1 _ 6 4 2 2) 	60003	85954.857	27.159	3.56E-8	0.000E0	0	0.00E0	
C3H7CN (9 2 8 0 _ 9 0 9 0) 	69002	85962.749	13.666	7.54E-9	0.000E0	0	0.00E0	
CH3COCH3 (13 7 6 1 _ 12 10 2 2) 	58003	85967.213	72.803	3.12E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (5 3 2 0 0 _ 4 3 1 0 0) 	60523	85969.011	14.039	1.62E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (12 6 6 0 1 _ 11 9 3 0 2) 	60523	85970.794	68.233	2.45E-8	0.000E0	0	0.00E0	
CH3OCH3 (13 2 12 0 _ 12 3 9 0) 	46008	85973.216	88.002	6.09E-7	0.000E0	0	0.00E0	
CH3OCH3 (13 2 12 1 _ 12 3 9 1) 	46008	85976.096	88.002	6.09E-7	0.000E0	0	0.00E0	
CH3OCH3 (13 2 12 2 _ 12 3 9 2) 	46008	85978.940	88.002	6.09E-7	0.000E0	0	0.00E0	
CH3OCH3 (13 2 12 3 _ 12 3 9 3) 	46008	85978.940	88.002	6.09E-7	0.000E0	0	0.00E0	
CH3COCH3 (10 8 2 1 _ 10 5 5 1) 	58003	85980.181	47.613	7.03E-7	0.000E0	0	0.00E0	
C4H (9 8.5 8 _ 8 8.5 8) 	49003	85990.217	20.563	1.92E-8	0.000E0	0	0.00E0	
C4H (9 8.5 9 _ 8 8.5 9) 	49003	86009.352	20.563	1.78E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (5 4 1 1 0 _ 5 1 4 1 0) 	60524	86019.781	120.256	5.83E-8	0.000E0	0	0.00E0	
CH3OCHO (7 5 2 2 _ 6 5 1 2) 	60003	86021.124	33.134	4.51E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (15 14 1 0 0 _ 15 13 2 0 0) 	60523	86025.749	124.087	1.83E-6	0.000E0	0	0.00E0	
CH3OCHO (7 5 3 1 _ 6 5 2 1) 	60003	86027.723	33.119	4.51E-6	0.000E0	0	0.00E0	
C3H7CN (10 2 9 0 _ 10 0 10 0) 	69002	86028.073	15.787	9.25E-9	0.000E0	0	0.00E0	
CH3OCHO (7 5 3 0 _ 6 5 2 0) 	60003	86029.442	33.114	4.51E-6	0.000E0	0	0.00E0	
CH3OCHO (7 5 2 0 _ 6 5 1 0) 	60003	86030.186	33.114	4.51E-6	0.000E0	0	0.00E0	
CH3COCH3 (15 9 6 0 _ 14 12 3 0) 	58003	86034.380	97.555	2.21E-8	0.000E0	0	0.00E0	
CH3NH2 (4 -1 1 _ 4 0 0) 	31008	86074.728	25.405	6.01E-6	0.000E0	0	0.00E0	
SO (2 2 _ 1 1) 	48001	86093.950	19.314	5.35E-6	0.000E0	0	0.00E0	
CH3OH, vt=0-2 (9 1 9 2 _ 8 2 7 1) 	32504	86111.464	109.971	2.85E-9	0.000E0	0	0.00E0	
C3H7CN (11 2 10 0 _ 11 0 11 0) 	69002	86114.538	18.12	1.11E-8	0.000E0	0	0.00E0	
C2H3CHO (20 1 19 0 _ 20 1 20 0) 	56008	86117.715	93.573	1.75E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 14 2 0 1 _ 16 13 3 0 2) 	60523	86180.193	136.465	2.53E-6	0.000E0	0	0.00E0	
CCS (7 6 _ 6 5) 	56502	86181.391	23.345	2.78E-5	0.000E0	0	0.00E0	
CH3OCH3 (2 2 1 2 _ 2 1 1 2) 	46008	86186.988	8.356	8.15E-8	0.000E0	0	0.00E0	
CH3OCH3 (2 2 1 1 _ 2 1 1 1) 	46008	86190.778	8.356	2.27E-8	0.000E0	0	0.00E0	
CH3OCHO (7 4 4 0 _ 6 4 3 0) 	60003	86210.057	27.149	6.24E-6	0.000E0	0	0.00E0	
CH3OCHO (7 4 3 2 _ 6 4 2 2) 	60003	86223.655	27.172	6.20E-6	0.000E0	0	0.00E0	
CH3OCH3 (2 2 0 3 _ 2 1 1 3) 	46008	86223.760	8.357	1.77E-6	0.000E0	0	0.00E0	
CH3OCHO (7 4 4 1 _ 6 4 3 1) 	60003	86224.160	27.159	6.20E-6	0.000E0	0	0.00E0	
CH3OCH3 (2 2 0 2 _ 2 1 1 2) 	46008	86225.670	8.358	1.69E-6	0.000E0	0	0.00E0	
C3H7CN (12 2 11 0 _ 12 0 12 0) 	69002	86226.181	20.666	1.32E-8	0.000E0	0	0.00E0	
CH3OCH3 (2 2 0 1 _ 2 1 1 1) 	46008	86226.730	8.357	1.75E-6	0.000E0	0	0.00E0	
CH3OCH3 (2 2 0 0 _ 2 1 1 0) 	46008	86228.720	8.357	1.77E-6	0.000E0	0	0.00E0	
CH3OCHO (7 4 3 0 _ 6 4 2 0) 	60003	86250.552	27.152	6.25E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (13 9 5 0 2 _ 12 11 2 0 1) 	60523	86256.318	83.82	2.48E-9	0.000E0	0	0.00E0	
CH3COCH3 (19 9 10 1 _ 19 8 11 1) 	58003	86262.012	147.377	1.52E-5	0.000E0	0	0.00E0	
CH3COCH3 (19 9 10 1 _ 19 8 11 2) 	58003	86263.544	147.377	1.52E-5	0.000E0	0	0.00E0	
CH3OCHO (7 3 5 0 _ 6 3 4 0) 	60003	86265.796	22.512	7.57E-6	0.000E0	0	0.00E0	
CH3OCHO (7 3 5 1 _ 6 3 4 1) 	60003	86268.739	22.527	7.50E-6	0.000E0	0	0.00E0	
CH3OCHO (14 6 9 0 _ 15 4 12 0) 	60003	86273.148	85.979	7.70E-9	0.000E0	0	0.00E0	
CH3COOH, vt=0 (13 2 11 0 2 _ 14 1 14 0 1) 	60523	86273.445	61.194	3.57E-10	0.000E0	0	0.00E0	
CH3COOH, vt=0 (13 3 11 0 2 _ 14 0 14 0 1) 	60523	86273.446	61.194	3.57E-10	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 14 3 0 2 _ 16 13 4 0 1) 	60523	86278.744	136.465	2.54E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (9 7 3 1 0 _ 9 4 5 1 0) 	60524	86284.773	148.021	1.13E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 2 4 0 _ 4 2 3 0) 	46524	86311.282	74.199	4.47E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (12 1 11 1 _ 12 0 12 1) 	46524	86321.273	129.078	1.45E-7	0.000E0	0	0.00E0	
CH3COCH3 (19 9 10 0 _ 19 8 11 1) 	58003	86324.935	147.35	1.53E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (4 4 1 0 0 _ 3 3 1 0 0) 	60523	86335.392	10.581	5.13E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (5 3 2 0 1 _ 4 3 1 0 2) 	60523	86336.282	13.545	1.72E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 2 4 1 _ 4 2 3 1) 	46524	86344.202	78.91	4.29E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (8 6 2 1 2 _ 8 4 5 1 1) 	60524	86355.645	146.182	6.13E-9	0.000E0	0	0.00E0	
C3H7CN (13 2 12 0 _ 13 0 13 0) 	69002	86367.320	23.423	1.54E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (8 6 2 1 2 _ 8 3 5 1 1) 	60524	86370.255	146.182	6.00E-9	0.000E0	0	0.00E0	
CH3COOH, vt=1 (6 6 1 1 0 _ 6 4 2 1 0) 	60524	86372.840	129.049	6.40E-8	0.000E0	0	0.00E0	
NH2CHO (7 1 6 7 _ 7 0 7 7) 	45003	86381.954	32.472	2.19E-6	0.000E0	0	0.00E0	
NH2CHO (7 1 6 8 _ 7 0 7 8) 	45003	86383.249	32.472	2.24E-6	0.000E0	0	0.00E0	
NH2CHO (7 1 6 6 _ 7 0 7 6) 	45003	86383.436	32.472	2.23E-6	0.000E0	0	0.00E0	
CH3COCH3 (19 9 10 0 _ 19 8 11 0) 	58003	86387.056	147.323	1.53E-5	0.000E0	0	0.00E0	
C3H7CN (8 4 4 1 _ 8 2 7 1) 	69002	86426.739	147.761	4.48E-8	0.000E0	0	0.00E0	
CH3COCH3 (19 10 10 1 _ 19 9 11 2) 	58003	86469.574	147.388	1.53E-5	0.000E0	0	0.00E0	
CH3COCH3 (19 10 10 1 _ 19 9 11 1) 	58003	86469.768	147.388	1.53E-5	0.000E0	0	0.00E0	
CH3OCHO (7 4 3 2 _ 6 4 3 1) 	60003	86492.974	27.172	3.63E-8	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 4 2 1 _ 4 4 1 1) 	46524	86516.482	93.725	1.91E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 4 1 1 _ 4 4 0 1) 	46524	86516.573	93.725	1.91E-6	0.000E0	0	0.00E0	
CH3COCH3 (19 10 10 0 _ 19 9 11 1) 	58003	86536.668	147.361	1.54E-5	0.000E0	0	0.00E0	
C3H7CN (14 2 13 0 _ 14 0 14 0) 	69002	86542.510	26.391	1.78E-8	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 3 3 1 _ 4 3 2 1) 	46524	86550.376	85.097	3.38E-6	0.000E0	0	0.00E0	
C2H5CN (15 3 13 _ 16 0 16) 	55001	86554.809	61.634	3.04E-8	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 4 2 0 _ 4 4 1 0) 	46524	86555.887	88.844	2.03E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 4 1 0 _ 4 4 0 0) 	46524	86555.986	88.844	2.03E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 3 2 1 _ 4 3 1 1) 	46524	86564.862	85.098	3.39E-6	0.000E0	0	0.00E0	
C7H (49 1 49.5 50 _ 48 -1 48.5 49) 	85501	86568.384	104.875	1.32E-4	0.000E0	0	0.00E0	
C7H (49 1 49.5 49 _ 48 -1 48.5 48) 	85501	86568.406	104.875	1.32E-4	0.000E0	0	0.00E0	
C7H (49 -1 49.5 50 _ 48 1 48.5 49) 	85501	86570.224	104.879	1.32E-4	0.000E0	0	0.00E0	
C7H (49 -1 49.5 49 _ 48 1 48.5 48) 	85501	86570.247	104.879	1.32E-4	0.000E0	0	0.00E0	
CH3COCH3 (13 7 6 0 _ 12 10 2 1) 	58003	86571.296	72.736	3.10E-8	0.000E0	0	0.00E0	
HC3NH+ (10 9 _ 9 9) 	52503	86578.070	22.853	1.03E-7	0.000E0	0	0.00E0	
HC3NH+ (10 11 _ 9 10) 	52503	86578.136	22.853	9.32E-6	0.000E0	0	0.00E0	
HC3NH+ (10 10 _ 9 9) 	52503	86578.136	22.853	9.23E-6	0.000E0	0	0.00E0	
HC3NH+ (10 9 _ 9 8) 	52503	86578.136	22.853	9.22E-6	0.000E0	0	0.00E0	
HC3NH+ (10 10 _ 9 10) 	52503	86578.195	22.853	9.32E-8	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 0 5 2 _ 4 0 4 2) 	46524	86593.749	12.517	7.30E-9	0.000E0	0	0.00E0	
CH3COCH3 (19 10 10 0 _ 19 9 11 0) 	58003	86603.631	147.334	1.54E-5	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 3 3 0 _ 4 3 2 0) 	46524	86604.284	80.318	3.66E-6	0.000E0	0	0.00E0	
CH3OH, vt=0-2 (7 2 6 0 _ 6 3 3 0) 	32504	86615.574	102.703	6.84E-7	0.000E0	0	0.00E0	
CH3COCH3 (10 8 2 0 _ 10 5 5 0) 	58003	86615.796	47.48	7.14E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 3 2 0 _ 4 3 1 0) 	46524	86621.726	80.319	3.67E-6	0.000E0	0	0.00E0	
SO2 (8 3 5 _ 9 2 8) 	64002	86639.088	55.203	1.34E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 6 3 0 2 _ 7 7 0 0 1) 	60523	86641.341	33.684	1.16E-7	0.000E0	0	0.00E0	
CH3CHO (12 3 9 2 _ 13 1 12 2) 	44003	86674.470	92.611	6.09E-9	0.000E0	0	0.00E0	
CH3SH,v=0-2 (6 0 6 1 _ 5 1 5 2) 	48510	86691.083	26.907	5.13E-7	0.000E0	0	0.00E0	
